input,output
intent: tell object: toys location: on the side table attribute: biggest,navigate to on the side table -> detect_object biggest toys at on the side table -> describe_property -> navigate to operator -> tell
intent: tell object: toys location: on the desk attribute: heaviest,navigate to on the desk -> detect_object heaviest toys at on the desk -> describe_property -> navigate to operator -> tell
intent: navigate location: bathroom intent: locate filter: right arm person: person intent: guide location: drinks bar,navigate to bathroom -> detect_person with right arm -> navigate to drinks bar -> guide_person to drinks bar
intent: locate object: cans location: bedroom intent: get intent: deliver location: bedroom filter: left arm recipient: person,navigate to bedroom -> detect_object cans at bedroom -> grasp -> navigate to bedroom -> deliver cans to person
intent: locate object: book location: living room intent: grasp intent: bring recipient: me,navigate to living room -> detect_object book at living room -> grasp -> deliver book to me
intent: greet location: terrace filter: wearing person: yellow t shirt intent: guide location: bedroom,navigate to terrace -> greet_person yellow t shirt with wearing at terrace -> navigate to bedroom -> guide_person to bedroom
intent: lead location: workshop filter: wearing person: orange jacket,navigate to workshop -> guide_person orange jacket to workshop
intent: bring object: tablet location: shelf recipient: me,navigate to shelf -> grasp -> navigate to shelf -> deliver tablet to me
intent: go location: study intent: meet person: Rosa intent: say content: your teams name,navigate to study -> meet_person Rosa -> greet_person
intent: tell object: plate location: on the counter,navigate to on the counter -> count plate at on the counter -> navigate to operator -> tell
intent: tell location: on the shelf attribute: thinnest,navigate to on the shelf -> detect_object thinnest at on the shelf -> describe_property -> navigate to operator -> tell
intent: tell location: on the shelf attribute: lightest,navigate to on the shelf -> detect_object lightest at on the shelf -> describe_property -> navigate to operator -> tell
intent: find location: closet filter: standing person: person intent: escort location: workshop,navigate to closet -> detect_person with pose standing at closet -> navigate to workshop -> guide_person to workshop
intent: navigate location: desk intent: locate object: cans intent: get intent: deliver location: storage room recipient: Karen,navigate to desk -> detect_object cans -> grasp -> navigate to storage room -> deliver cans to Karen
intent: tell location: on the desk attribute: smallest,navigate to on the desk -> detect_object smallest at on the desk -> describe_property -> navigate to operator -> tell
intent: salute location: laundry room filter: wearing person: orange t shirt intent: tell content: time,navigate to laundry room -> greet_person orange t shirt with wearing at laundry room -> tell time
intent: get object: remotes location: desk intent: bring recipient: me,navigate to desk -> grasp -> deliver remotes to me
intent: tell location: bathroom content: pose person: person,navigate to bathroom -> tell pose
intent: tell object: bottle location: on the desk,navigate to on the desk -> count bottle at on the desk -> navigate to operator -> tell
intent: grasp object: plates location: desk intent: place location: on the counter,navigate to desk -> grasp -> navigate to on the counter -> place at on the counter
intent: tell object: cup location: on the garden table,navigate to on the garden table -> count cup at on the garden table -> navigate to operator -> tell
intent: tell location: closet filter: wearing person: blue shirts,navigate to closet -> detect_person with wearing at closet -> describe_property -> navigate to operator -> tell
intent: tell object: glass location: on the garden table,navigate to on the garden table -> count glass at on the garden table -> navigate to operator -> tell
intent: escort location: office filter: wearing person: gray t shirt,navigate to office -> guide_person gray t shirt to office
intent: escort location: laundry room person: Sam,navigate to laundry room -> guide_person Sam to laundry room
intent: tell location: on the counter attribute: biggest,navigate to on the counter -> detect_object biggest at on the counter -> describe_property -> navigate to operator -> tell
intent: meet location: workshop person: Tom intent: follow location: office,navigate to workshop -> meet_person Tom at workshop -> navigate to office -> guide_person to office
intent: bring object: plate location: side table recipient: me,navigate to side table -> grasp -> navigate to side table -> deliver plate to me
intent: tell location: workshop filter: wearing person: orange coats,navigate to workshop -> detect_person with wearing at workshop -> describe_property -> navigate to operator -> tell
intent: navigate location: study intent: find object: box intent: grasp intent: deliver location: workshop recipient: Rosa,navigate to study -> detect_object box -> grasp -> navigate to workshop -> deliver box to Rosa
intent: tell object: bottles location: on the garden table attribute: largest,navigate to on the garden table -> detect_object largest bottles at on the garden table -> describe_property -> navigate to operator -> tell
intent: tell object: can location: on the side table,navigate to on the side table -> count can at on the side table -> navigate to operator -> tell
intent: follow location: garden person: Olivia,navigate to garden -> guide_person Olivia to garden
intent: tell object: mugs location: on the counter attribute: thinnest,navigate to on the counter -> detect_object thinnest mugs at on the counter -> describe_property -> navigate to operator -> tell
intent: tell location: on the counter attribute: lightest,navigate to on the counter -> detect_object lightest at on the counter -> describe_property -> navigate to operator -> tell
